Stationnummer|Dossiernummer|Bedrijfsnaam|Adres|Postcode|Plaats|Stadsdeel|Oliemaatschappij|Omzet|Ligging|Tank_aanwezig|Tank_positie|Tank_inhoud|Vulpunt_aanwezig|Vulmoment|Opmerkingen|geometrie
24|85128|TOTAL STATION KADOELEN|Vorticellaweg 2|1035 VB|Amsterdam|Noord|TOTAL/FINA|437 m3/jr|Buitengebied|Ja|Ondergronds|20|Ja||PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 40 m.|POLYGON ((122698.4 492275.07,122741.03 492367.13,122770.69 492353.39,122728.06 492261.33,122698.4 492275.07))
4|58740|HEERMINK EXPLOITATIE|Cornelis Douwesweg 15|1033 NP|Amsterdam|Noord|BP|312 m3/jr|Industriegebied|Ja|Bovengronds|18|Ja||PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 40 m. Bovengrondse opslagtank. Deze heeft een PR 10-6 contour van 120 m.|POLYGON ((120080.52 492239.67,120117.18 492162.7,120158.37 492182.32,120121.71 492259.28,120080.52 492239.67))
2|15707-001|BODO BV|Appelweg 46|1033 AV|Amsterdam|Noord|AVIA|163 m3/jr|Woongebied|Ja|Ondergronds|20|Ja||PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 35 m. Doorzet LPG is beperkt in vergunning tot 1000 m3/jaar.|POLYGON ((121664.69 492184.56,121752.34 492133.06,121731.14 492096.99,121643.5 492148.49,121664.69 492184.56))
22|90068|MONS ENERGIE BV|Van Slingelandstraat 45|1051 CG|Amsterdam|West|SHELL|679 m3/jr|Industriegebied|Ja|Ondergronds|20|Ja||PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 40 m.|POLYGON ((119444.35 488693.08,119489.95 488693.08,119489.95 488753.9,119444.35 488753.9,119444.35 488693.08))
19|83302-002|ZWART'S AUTOMOBIELBEDRIJF BV|Ookmeerweg 501|1067 MP|Amsterdam|Nieuw-West|BP|996 m3/jr|Woongebied|Ja|Ondergronds|40|Ja|1x per week|PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 40 m.|POLYGON ((112931.38 485520.59,112981.38 485527.96,112991.45 485459.75,112941.44 485452.37,112931.38 485520.59))
20|62788|BP NEDERLAND BV|Oude Haagseweg 18|1066 BW|Amsterdam|Nieuw-West|BP|1145 m3/jr|Buitengebied|Ja|Ondergronds|40|Ja||PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 40 m.|POLYGON ((116209.74 483535.36,116265.67 483535.36,116265.67 483578.3,116209.74 483578.3,116209.74 483535.36))
1|71974|HANSA GARAGE BV|Anthony Fokkerweg 8|1059 CM|Amsterdam|Zuid|TEXACO|379 m3/jr|Industriegebied|Ja|Ingeterpt|20|Ja|1x per 3 weken|PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 40 m.|POLYGON ((117844.01 484248.39,117899.62 484248.39,117899.62 484327.6,117844.01 484327.6,117844.01 484248.39))
9|24259|AUTO HENNIS BV|Havenstraat 7|1075 PR|Amsterdam|Zuid|BP|536 m3/jr|Woongebied|Ja|Ondergronds|35|Ja||PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 40 m.|POLYGON ((118711.14 484758.68,118783.91 484834.75,118805.74 484812.92,118732.57 484735.76,118711.14 484758.68))
13|74395|DRIESPRONG BRANDSTOFFEN BV|Metaalbewerkerweg 3|1032 KW|Amsterdam|Noord|BP|88 m3/jr|Industriegebied|Ja|Ondergronds|20|Ja||PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 40 m.|POLYGON ((122336.18 490602.76,122388.47 490569.56,122372.9 490545.03,122320.6 490578.23,122336.18 490602.76))
12|35229-002|AUTOMOBIELBEDRIJF VAN VLOTEN BV|Meeuwenlaan 128|1021 JN|Amsterdam|Noord|ESSO|250 m3/jr|Industriegebied|Ja|Ingeterpt|20|Ja||PR afstanden gelden voor nieuwe situaties. Voor bestaande situaties bedraagt PR 10-6: 40 m. Tankstation gaat weg in 2015. Doorzet wordt aangepast naar 1000 m3/jaar.|POLYGON ((123519.32 488939.29,123477.45 488966.01,123524.21 489039.26,123566.08 489012.53,123519.32 488939.29))
