Stationnummer|Bedrijfsnaam|Adres|Oliemaatschappij|geometrie
27||||POINT (119491.42 489723.35)
11|BIKHARI RETAIL ENTERPRISE BV|Laarderhoogtweg 5|SHELL|POINT (125030.7 479617.01)
26|SHELL TANKSTATION WESTERPOORT|Westerpoortweg 0|SHELL|POINT (115107.15 490084.22)
14|SHELL|Muntbergweg 20|SHELL|POINT (124944.18 479342.24)
10|IFA|Kromwijkdreef 20|TOTAL|POINT (127482.08 480742.3)
7|"TOTAL SELFSERVICESTATION ""ZUID-OOST 1"""|Gooiseweg 51|TOTAL/FINA|POINT (126101.55 481282.49)
17|ROC BV ESSO UTRECHTSEBRUG|Nieuwe Utrechtseweg 10|ESSO|POINT (122641.36 482933.31)
5|SLAGBOOM BV|Gooiseweg 10|BP|POINT (123589.63 484589.41)
9|AUTO HENNIS BV|Havenstraat 7|BP|POINT (118751.53 484777.23)
1|HANSA GARAGE BV|Anthony Fokkerweg 8|TEXACO|POINT (117873.84 484288.83)
20|BP NEDERLAND BV|Oude Haagseweg 18|BP|POINT (116236.22 483558.23)
12|AUTOMOBIELBEDRIJF VAN VLOTEN BV|Meeuwenlaan 128|ESSO|POINT (123523.68 488988.61)
13|DRIESPRONG BRANDSTOFFEN BV|Metaalbewerkerweg 3|BP|POINT (122353.56 490576.75)
22|MONS ENERGIE BV|Van Slingelandstraat 45|SHELL|POINT (119466.27 488728.15)
24|TOTAL STATION KADOELEN|Vorticellaweg 2|TOTAL/FINA|POINT (122735.53 492316.24)
2|BODO BV|Appelweg 46|AVIA|POINT (121699.52 492140.77)
4|HEERMINK EXPLOITATIE|Cornelis Douwesweg 15|BP|POINT (120119.8 492212)
19|ZWART'S AUTOMOBIELBEDRIJF BV|Ookmeerweg 501|BP|POINT (112960.51 485494.02)
