WKT,Kenmerk,Datum,Soort_hand,Bron1,Datum1,Intekening,Nauwkeurig,Opmerkinge,SHAPE_Leng,SHAPE_Area
"MULTIPOLYGON (((122171.601500001 490002.997099999,122102.783199999 489895.681899998,122063.968699999 489920.685,122132.548900001 490027.7621,122171.601500001 490002.997099999)),((122129.7707 490041.9703,122050.0781 489917.271899998,122041.346799999 489922.986900002,122121.039500002 490047.209100001,122129.7707 490041.9703),(122085.8488 489976.401700001,122085.696600001 489976.526799999,122085.444643167 489976.648263474,122085.175666507 489976.724991428,122084.897546355 489976.754737068,122084.618426786 489976.736629364,122084.346481145 489976.671198558,122084.089672702 489976.560360631,122083.855521473 489976.407361207,122083.65088401 489976.216680502,122083.481752628 489975.993902141,122083.353079931 489975.745549651,122083.268633789 489975.478895434,122083.230887002 489975.201747816,122083.240944894 489974.922222395,122083.298512945 489974.648504398,122083.401905412 489974.388608995,122083.548094697 489974.150146598,122083.732799999 489973.940099999,122083.962868904 489973.788587571,122084.215230079 489973.678126926,122084.482626737 489973.611894424,122084.757369735 489973.591794619,122085.031558681 489973.61840549,122085.297309118 489973.690961828,122085.546979241 489973.807377234,122085.773389643 489973.964304116,122085.970029766 489974.157229954,122086.131245111 489974.380607056,122086.25239984 489974.628012086,122086.330010078 489974.892330771,122086.361844101 489975.16596248,122086.346986502 489975.441038776,122086.285864521 489975.709649685,122086.180235754 489975.964071147,122086.033137617 489976.19698713,122085.8488 489976.401700001)))",GG_001A,,Vrijgave,5150505-PVO-TEK-003,2015/07/10,Kaartmateriaal,,"Vrijgave tot 14,5 meter -mv middels dieptedetectie en grondradar",673.17147596200,7398.37739361000
"MULTIPOLYGON (((122102.783199999 489895.681899998,122097.385699999 489887.1094,122050.0781 489917.271899998,122129.7707 490041.9703,122177.237100001 490011.331500001,122171.601500001 490002.997099999,122132.548900001 490027.7621,122063.968699999 489920.685,122102.783199999 489895.681899998)))",GG_001B,,Vrijgave,5150505-PVO-TEK-003,2015/07/10,Kaartmateriaal,,"Vrijgave 10 meter heizone tot 14,5 meter -mv middels dieptedetectie en grondradar",500.35064535800,2417.24445911000
"MULTIPOLYGON (((122097.385699999 489887.1094,122102.783199999 489895.681899998,122171.601500001 490002.997099999,122177.237100001 490011.331500001,122185.5715 490006.1721,122105.878800001 489881.553100001,122097.385699999 489887.1094)))",GG_001C,,Vrijgave,5150505-PVO-TEK-003,2015/07/10,Kaartmateriaal,,"Vrijgave 10 meter heizone tot 14,5 meter -mv middels dieptedetectie en AMOS actieve oppervlaktedetectie",315.54939658500,1496.88190223000
"MULTIPOLYGON (((115519.729600001 482733.4494,115526.238299999 482729.0044,115526.555799998 482724.241900001,115531.000799999 482721.384399999,115534.652100001 482722.813200001,115539.732099999 482722.813200001,115543.224599998 482721.543200001,115547.987100001 482718.209399998,115556.877099998 482708.6844,115563.703400001 482707.096900001,115578.784699999 482696.778099999,115578.784699999 482692.9681,115582.435899999 482690.904300001,115585.452199999 482689.158100002,115590.373500001 482689.4756,115613.2335 482674.711800002,115613.709800001 482670.743,115617.6785 482669.473,115621.0123 482670.425500002,115621.0123 482666.1393,115621.171 482665.028,115626.4098 482664.234299999,115630.537300002 482662.964299999,115634.823600002 482659.789299998,115638.474800002 482657.566799998,115641.173599999 482656.9318,115644.031100001 482654.391800001,115650.539799999 482649.153,115659.588599999 482640.263,115663.081099998 482634.389199998,115666.573600002 482632.3255,115672.923599999 482628.674199998,115679.5911 482625.499200001,115684.353700001 482621.848,115688.3224 482618.037900001,115691.021200001 482614.227899998,115693.402399998 482612.957899999,115700.387400001 482607.084199999,115701.181200001 482603.4329,115708.4837 482599.7817,115709.753699999 482591.5266,115713.087499999 482589.939100001,115718.961199999 482591.844099998,115722.93 482589.145399999,115724.047899999 482584.588,115733.2652 482578.0561,115721.360100001 482563.572,115717.3737 482566.285300002,115712.293699998 482567.8728,115710.7062 482573.1116,115708.166200001 482577.239100002,115705.308699999 482578.509100001,115702.133699998 482578.509100001,115683.718600001 482591.0504,115677.3686 482591.685400002,115675.304900002 482594.860399999,115672.288600001 482598.8292,115669.113600001 482600.575399999,115664.192400001 482600.575399999,115657.842300002 482605.4967,115655.619800001 482605.814199999,115648.7936 482611.529199999,115645.301100001 482612.799199998,115639.586100001 482617.720400002,115635.299800001 482620.895500001,115632.283500001 482621.3717,115627.044799998 482625.658,115625.616 482628.833,115625.933499999 482632.008,115619.7423 482638.5167,115609.5823 482639.3105,115606.7247 482641.6917,115602.597199999 482645.819200002,115598.946 482646.7718,115594.977200001 482650.2643,115591.008499999 482650.423,115584.976 482655.503,115581.800900001 482658.678,115579.260899998 482659.789299998,115575.768399999 482663.123,115570.212200001 482663.281800002,115568.624699999 482664.234299999,115568.4659 482667.568,115562.433400001 482672.965599999,115560.052200001 482673.124299999,115556.2421 482676.616799999,115551.320900001 482679.474300001,115549.5746 482682.8081,115545.288400002 482683.760600001,115543.8596 482685.348099999,115543.7009 482689.316799998,115540.525899999 482689.634300001,115537.509599999 482690.110599998,115532.588300001 482696.4606,115525.127099998 482696.778099999,115522.7458 482697.095600002,115516.395799998 482704.239399999,115510.998300001 482707.096900001,115505.759500001 482707.8906,115502.1083 482709.001899999,115498.774500001 482715.034400001,115494.964499999 482719.638099998,115490.519499999 482723.448199999,115488.138300002 482724.718199998,115485.2808 482731.861900002,115476.073199999 482731.703200001,115474.803199999 482728.845699999,115471.310699999 482731.544399999,115471.152 482736.465700001,115465.437 482738.688200001,115455.3103 482742.466400001,115473.7903 482761.8704,115483.111200001 482760.225299999,115491.2848 482760.195799999,115495.8112 482753.875300001,115499.092 482752.182,115504.6483 482745.6732,115508.458299998 482742.6569,115516.5546 482739.323199999,115517.9833 482733.925700001,115519.729600001 482733.4494)),((115262.977 482907.634199999,115279.9637 482891.273699999,115286.578299999 482895.771600001,115290.9439 482892.7289,115292.134500001 482895.507,115300.601199999 482888.627900001,115300.204300001 482885.982,115296.6325 482880.9549,115296.300299998 482871.6241,115304.447500002 482866.2982,115294.772399999 482853.152,115283.0064 482862.566399999,115283.667800002 482866.799699999,115281.022 482871.562199999,115275.994899999 482875.398699999,115266.602200001 482876.324700002,115257.870900001 482880.9549,115249.6688 482885.188299999,115245.700100001 482889.157,115240.937600002 482889.421599999,115240.143800002 482891.670600001,115234.8521 482898.020599999,115238.185899999 482904.397100002,115244.606600001 482907.712499999,115255.489700001 482918.525800001,115242.657400001 482926.331099998,115234.8521 482933.0779,115255.8543 482924.5964,115262.099300001 482920.2839,115262.977 482907.634199999)),((115102.7586 483013.2557,115107.0449 483010.239399999,115113.394900002 483008.175700001,115116.966800001 483006.429400001,115129.445799999 483000.2271,115127.603100002 482996.666299999,115125.301199999 482996.666299999,115121.7293 482997.618799999,115120.2212 482998.174400002,115114.029899999 483000.079399999,115113.236200001 482999.126899999,115111.5693 482995.872499999,115116.173 482988.6494,115110.934300002 482979.997499999,115108.791099999 482983.410599999,115105.616099998 482984.3631,115101.885499999 482987.061900001,115102.3618 482991.189399999,115096.646699999 482993.65,115092.995499998 482997.618799999,115091.6461 483000.317499999,115081.962299999 483002.857500002,115077.358600002 483006.35,115075.9298 483008.255,115073.628 483008.255,115071.722899999 483010.556899998,115069.817899998 483010.318799999,115066.087299999 483013.493799999,115060.610399999 483019.764400002,115055.3717 483020.002599999,115053.253199998 483023.456099998,115063.029100001 483036.7062,115068.071699999 483035.401299998,115076.7236 483030.877,115085.1373 483024.6063,115092.201699998 483019.9232,115092.4399 483015.398800001,115102.7586 483013.2557)),((114272.068500001 483991.3402,114277.386599999 483986.101399999,114279.450399999 483986.736400001,114281.1173 483986.418900002,114285.086 483981.1008,114289.213500001 483978.8783,114301.596099999 483967.9245,114308.898600001 483967.5277,114312.787900001 483964.035100002,114319.693599999 483960.066399999,114321.796100002 483959.908599999,114323.1094 483958.984099999,114323.424199998 483953.319499999,114328.132399999 483944.437399998,114334.774900001 483941.492600001,114343.7443 483941.413199998,114346.459 483942.547200002,114354.119399998 483937.1547,114357.6349 483935.222,114363.1118 483934.428199999,114368.985599998 483935.698199999,114369.0649 483938.000100002,114355.1743 483941.333799999,114354.9362 483944.112,114369.382399999 483941.8895,114367.715599999 483941.0163,114367.715599999 483940.222600002,114370.334899999 483939.190699998,114375.970600002 483939.032,114377.161200002 483940.460700002,114379.225400001 483940.831500001,114393.422600001 483922.578,114367.479400001 483899.977200001,114362.794300001 483903.313099999,114357.952399999 483903.233800001,114354.301199999 483901.408100002,114354.063 483903.630600002,114344.934900001 483911.33,114344.061799999 483911.647500001,114343.109299999 483916.1719,114338.823 483920.378800001,114330.7267 483924.585700002,114324.218 483928.8719,114314.534200002 483935.698199999,114313.978599999 483940.0638,114310.8829 483942.2863,114309.930399999 483944.985100001,114303.183600001 483949.192,114301.040399998 483951.2557,114300.167300001 483952.605099998,114299.770399999 483954.272,114297.2304 483954.351399999,114292.229800001 483958.875799999,114284.451 483964.749499999,114278.656599998 483967.4483,114270.877900001 483972.3695,114263.892900001 483976.735199999,114260.876600001 483978.6402,114258.574700002 483980.545200001,114258.495299999 483981.735800002,114256.828499999 483984.196400002,114253.4153 483983.958299998,114249.1426 483987.1118,114257.391 484001.192299999,114261.3528 483997.214,114266.9091 483994.832699999,114272.068500001 483991.3402)))",GG_003,,Vrijgave,0611GPR2604,2015/05/25,Kaartmateriaal,,Vrijgave tot vaargeul,1651.07424753000,15155.90412420000
"MULTIPOLYGON (((121393.760299999 489316.478500001,121283.495 489143.983,121271.0066 489189.491500001,121264.656599998 489187.798099998,121254.696 489222.7476,121292.7951 489251.443799999,121293.9593 489248.4804,121312.003899999 489276.632199999,121315.496399999 489273.615899999,121334.546399999 489301.873500001,121333.2764 489305.048500001,121336.451400001 489305.207199998,121362.327799998 489345.0535,121393.760299999 489316.478500001)))",GG_004,,Vrijgave,Stenenhoofd,1995/11/08,Kaartmateriaal,,Vrijgave onbekend (enkel gezocht aan oppervlak waterbodem),514.43395730100,9186.38066825000
"MULTIPOLYGON (((123465.966699999 490544.085499998,123465.080400001 490542.0482,123462.117 490543.490200002,123462.9901 490545.5407,123465.966699999 490544.085499998)),((123467.765900001 490548.662799999,123466.8398 490546.427099999,123463.929400001 490547.915399998,123464.583799999 490549.746599998,123467.765900001 490548.662799999)))",GG_005A,,Vrijgave,PVVO2013154,2014/11/13,Kaartmateriaal,,Vrijgave (tot en met 250 lbs) tot 6 meter - NAP,22.05427422360,14.55541449140
"MULTIPOLYGON (((123479.936700001 490579.963100001,123467.765900001 490548.662799999,123461.881499998 490550.667,123487.973900001 490620.131200001,123493.3979 490617.485399999,123488.469599999 490603.048,123481.160399999 490583.601100001,123479.936700001 490579.963100001)),((123459.445300002 490617.800299998,123429.872699998 490556.816399999,123425.3704 490558.872200001,123457.138099998 490624.277399998,123460.258299999 490634.835,123464.863899998 490633.230900001,123462.514400002 490625.293400001,123459.445300002 490617.800299998)))",GG_005B,,Vrijgave,PVVO2013154,2014/11/13,Kaartmateriaal,,"Vrijgave (tot en met 250 lbs) tot 12,5 meter - NAP",337.60485645100,883.61959437100
"MULTIPOLYGON (((118819.9494 485111.629900001,118803.995 485189.735100001,118780.579300001 485299.6697,118788.437399998 485301.654,118800.740600001 485246.2502,118815.7425 485176.241300002,118828.998199999 485113.058699999,118819.9494 485111.629900001)))",GG_006,,Vrijgave,72581-DR-01,2009/11/17,Kaartmateriaal,,Vrijgave tot 5 meter -mv,402.29414636400,1669.13501438000
"MULTIPOLYGON (((122248.524300002 489039.0524,122194.362199999 489023.0425,122193.171599999 489027.262600001,122193.316259099 489027.115431873,122193.483048561 489026.99391649,122193.667472789 489026.901329141,122193.864560865 489026.8401654,122194.069000534 489026.812073857,122194.275281387 489026.817811683,122194.477843389 489026.857224222,122194.671226742 489026.929249161,122194.850219046 489027.03194516,122195.009995794 489027.162544179,122195.146250409 489027.317526091,122195.255310323 489027.492713557,122195.334235966 489027.683384624,122195.380899999 489027.884399999,122195.388610746 489028.111996354,122195.358491883 489028.33772276,122195.291376577 489028.555335012,122195.189121422 489028.758813363,122195.054555072 489028.942529051,122194.891399998 489029.101399999,122195.082857925 489029.141738879,122195.264963374 489029.21329982,122195.432663288 489029.314097149,122195.581304334 489029.441333946,122195.706762023 489029.591479646,122195.805555157 489029.76036801,122195.874942428 489029.943312727,122195.912998479 489030.135237452,122195.918667331 489030.330816661,122195.891791685 489030.524623427,122195.833117286 489030.711280004,122195.74427223 489030.88560705,122195.627721788 489031.042767341,122195.486699998 489031.178399999,122195.309613249 489031.29092978,122195.115734016 489031.371138954,122194.910904789 489031.416610444,122194.701298031 489031.425973979,122194.493230176 489031.398947394,122194.292971283 489031.336345125,122194.106556088 489031.240053672,122193.939602156 489031.112974748,122193.797140589 489030.958937835,122193.683464422 489030.782584787,122193.60199925 489030.589229946,122193.555199999 489030.3847,122193.421075588 489030.521388825,122193.265388015 489030.63289924,122193.092802504 489030.715889804,122192.908490624 489030.767873683,122192.717975332 489030.787293166,122192.526965472 489030.773566343,122192.341184704 489030.727104541,122192.166200001 489030.649300002,122187.562399998 489047.212200001,122242.013799999 489063.523800001,122248.524300002 489039.0524)))",GG_007,,Vrijgave,RO-150036 v1,2015/03/12,Kaartmateriaal,,Vrijgave tot 13 meter - NAP,171.27673157000,1417.45102728000
"MULTIPOLYGON (((121971.2828 488993.3543,121988.15 488998.579799999,121993.7062 488979.9267,121995.955200002 488980.455899999,122009.713599999 488934.087499999,121990.332800001 488929.854200002,121977.0242 488974.2434,121986.4857 488977.333799999,121982.8662 488978.476799998,121973.150699999 488978.307399999,121971.2828 488993.3543)))",GG_008,,Vrijgave,71049/RO-120046,2015/08/03,Kaartmateriaal,,"Vrijgave onbekend (71049/RO-120046, d.d. 19-7-2012)",192.60565138100,1283.75792825000
