Id|Bedrijfsnaam|Adres|Stadsdeel|Aantal_bronnen|Bevoegd_gezag|Categorie_bevi|Type_bedrijf|Opmerkingen|geometrie
1|ACT|RUIJGOORDWEG 100|Westpoort|1|Gemeente|VERVOER, art.2.1.b|Opslag gevaarlijke stoffen tbv verder transport||POLYGON ((112290.94 492798.44,112283.83 492822.18,112221.42 493025.15,112183.18 493149.42,112231.5 493164.36,112232.65 493165,112238.3 493175.49,112238.11 493176.87,112235.47 493185.57,112170.56 493396.69,112170.16 493396.57,112170.41 493397.17,112170.37 493397.28,112140.99 493491.64,111967.92 493528.84,111964.56 493529.31,111957.93 493528.86,111952.89 493527.2,111946.42 493522.84,111940.72 493518.72,111936.3 493516.8,111932.45 493515.83,111927.34 493515.42,111918.47 493517.03,111912.91 493520.14,111909.42 493523.09,111905.23 493528.59,111903.29 493532.73,111901.96 493537.69,111901.6 493543.29,111902.08 493547.4,111908.06 493575.07,111909.69 493578.72,111911.64 493581.56,111916.43 493586.87,111921.64 493589.95,111925.14 493594.31,111926.11 493597.13,111931.37 493621.6,111934.12 493628.06,111940.1 493633.67,111942.1 493642.97,112913.15 493434.61,113113.06 492785.65,112852.36 492705.34,112482.59 492591.7,112313.72 492539.76,112137.95 492485.81,112137.91 492485.85,112137.81 492485.83,112123.54 492500.8,112114.01 492531.33,112093.47 492525.07,112089.6 492523.87,112087.2 492523.16,112082.23 492521.65,112077.93 492519.28,112075.02 492516.2,112073.32 492512.95,112072.97 492511.95,112072.68 492510.82,112071.44 492496.15,112069.93 492475.36,112068.37 492453.93,112067.26 492444.35,112064.22 492432.03,112059.51 492419.42,112050.07 492396.23,112050.02 492389.02,112050.33 492382.21,112051.77 492373.14,112055.09 492354.35,112055.35 492348.67,112049.72 492330.06,112049.34 492329.09,112049.04 492328.1,112048.83 492327.08,112048.7 492326.05,112048.67 492325.02,112048.73 492323.98,112048.88 492322.95,112054.68 492289.7,112055.77 492282.31,112055.09 492277.02,112054.42 492275.84,112041.59 492349.14,112039.49 492361.44,112038.39 492368.62,112029.13 492422.11,112024.51 492448.99,112022.02 492463.22,112022.05 492463.14,112022.09 492463.06,112022.13 492462.98,112022.18 492462.91,112022.23 492462.84,112022.29 492462.78,112022.36 492462.72,112022.43 492462.67,112022.51 492462.62,112022.91 492462.42,112022.96 492462.4,112023 492462.39,112023.04 492462.37,112023.09 492462.36,112023.13 492462.36,112023.18 492462.36,112023.22 492462.36,112023.27 492462.37,112023.31 492462.38,112023.35 492462.4,112023.4 492462.42,112023.44 492462.44,112023.47 492462.46,112023.51 492462.49,112023.54 492462.53,112023.57 492462.56,112023.6 492462.6,112023.62 492462.64,112025.08 492465.4,112026.36 492468.24,112027.45 492471.17,112028.39 492474.93,112029.06 492478.76,112029.45 492482.62,112029.39 492485.46,112029.17 492488.29,112028.78 492491.1,112026.96 492501.63,112025.56 492509.73,112024.84 492509.79,112024.81 492509.94,112024.39 492509.97,112015.81 492558.65,112006.81 492607.37,112002.56 492628.59,112005.89 492634.13,112006.16 492635.33,112008.6 492640.94,112012.01 492645.92,112014.21 492648.01,112015.29 492649.8,112016.64 492650.21,112018.34 492651.33,112016.23 492658.72,112073.86 492676.23,112144.55 492698.03,112147.03 492698.84,112150.42 492700.25,112153.17 492701.59,112157.09 492703.76,112168.16 492710.2,112167.89 492710.7,112203.81 492731.55,112260.79 492764.59,112284.72 492779.22,112291.45 492788.47,112291.45 492788.48,112291.9 492791.2,112291.43 492796.51,112290.94 492798.44))
2|AFVAL ENERGIE BEDRIJF|AUSTRALIEHAVENWEG 21|Westpoort|1|Provincie|EMBALLAGE, art.2.1.f|Opslag verpakte gevaarlijke stoffen|Nog geen risicocontouren beschikbaar|POLYGON ((114468.7 490710.79,114661.05 490707.28,114660.13 490483.21,114468.66 490484.11,114468.7 490710.79))
3|AIR PRODUCTS NEDERLAND B.V.|DISTELWEG 105|Noord|1|Gemeente|BRZO, art.2.1.a|Opslag en distributie giftige en brandbare gassen|Contour uit QRA (juni 2001) behorende bij vergunning is de geldige contour|POLYGON ((121821.63 489776.05,121870.39 489853.14,121877.96 489856.13,121973.63 489795.12,121982.49 489789.02,121990.36 489782.59,122000.23 489773.62,122011.87 489761.09,122017.97 489752.88,122018.03 489751.92,122026 489740.43,122030.78 489730.01,122044.93 489692.13,121938.49 489661.22,121923.74 489711.09,121821.63 489776.05))
4|ALBEMARLE CATALYSTS BV|NIEUWENDAMMERKADE 1-3|Noord|3|Provincie|BRZO, art.2.1.a|Productie van katalysatoren|Laatste QRA feb 2007 t.b.v. bestemmingsplan. Definitieve invloedsgebieden. Maximale werkinhoud ammoniatank volgens nieuwe QRA. QRA ammoniagedeelte van 19 mei 2008|POLYGON ((124095.61 488683.94,124054.55 488708.73,124051.33 488761.57,124054.85 488761.73,124047.69 488872.64,124061.35 488897.37,124064.14 488900.33,124103.22 489050.71,124299.31 488998.76,124301.23 489006.03,124325.74 488999.5,124399.32 488979.88,124402 488979.16,124404.48 488976.62,124405.96 488973.98,124406.78 488970.85,124419.46 488967.58,124415.25 488949.92,124428.6 488946.69,124429.53 488950.04,124450.12 488942.99,124453.56 488941.62,124458.19 488938.23,124460.07 488936.59,124462.3 488933.52,124463.9 488930.07,124464.57 488926.49,124464.93 488922.86,124465.52 488912.31,124466.31 488910.64,124467.91 488909.21,124477.88 488905.32,124480.2 488905.03,124481.76 488905.21,124483.25 488905.7,124484.05 488906.11,124518.56 488926.45,124663.37 488888.61,124662.13 488883.84,124709.12 488871.61,124724.74 488868.39,124797.79 488849.55,124798.43 488852.04,124800.8 488851.43,124821.03 488834.96,124827.81 488824.9,124832.59 488815.46,124835.84 488806.8,124838.72 488795.26,124839.78 488787.39,124840.16 488778.81,124839.95 488772.86,124837.27 488756.05,124837.98 488755.35,124835.7 488747.96,124834.42 488748.24,124833.96 488746.94,124796.74 488757.18,124794.34 488755.86,124795.12 488754.66,124794.21 488751.27,124793.06 488750.66,124794.25 488748.41,124795.51 488748.97,124808.33 488693.75,124806.3 488692.62,124801.03 488672.43,124794.6 488674.1,124794.88 488670.28,124795.99 488669.19,124796.56 488667.74,124792.85 488659.15,124789.93 488656.67,124781.57 488652.01,124771.49 488648.84,124766.7 488648.07,124751.39 488647.54,124725.9 488648.41,124713.47 488649.29,124705.18 488647.64,124671.39 488647.51,124649.81 488647.18,124643.45 488647.66,124631.89 488644.54,124627.39 488643.11,124619.95 488642.34,124616.21 488642.48,124612.49 488642.96,124594.4 488648.67,124582.34 488650.19,124572.47 488650.73,124536.02 488650.86,124512.83 488650.44,124511.29 488650.04,124496.66 488649.86,124489.61 488649.2,124486.08 488649.14,124478.59 488649.69,124470.76 488651.01,124458.41 488654.04,124450.05 488656.65,124434.55 488659.51,124425.38 488660.87,124412.56 488662.21,124408.94 488662.39,124406.16 488664.36,124402.23 488668.52,124399.33 488672.15,124395.7 488678.11,124388.67 488685.27,124382.36 488690.18,124373.56 488696.24,124365.88 488700.24,124359.6 488702.74,124357.36 488704.31,124351.43 488707.74,124349.31 488708.56,124345.99 488708.63,124343.46 488707.56,124307.26 488698.13,124307.82 488695.54,124304.1 488694.74,124304.23 488694.15,124294.03 488692.42,124234.64 488681.86,124187.15 488670.04,124180.39 488669.67,124176.01 488672.05,124173.36 488673.87,124169.07 488676.63,124164.67 488679.21,124157.05 488684.04,124140.44 488694.8,124134.85 488699.39,124135.25 488700.3,124107.44 488714.12,124106.77 488712.65,124107.13 488712.5,124097.36 488686.55,124095.61 488683.94))
5|BP AMSTERDAM TERMINAL (BAT)|HORNWEG 10|Westpoort|3|Provincie|BRZO, art.2.1.a|OPSLAG VAN BRANDBARE Vloeistoffen en gassen|Geldende QRA: 21-5-2008|POLYGON ((114633.09 491841.74,114205.48 491843.97,114200.11 491845.71,113883.38 491847.43,113691.33 491847.98,113676.79 491848.93,113661.64 491854.37,113648.93 491861.2,113638.85 491869.42,113631.45 491877.88,113623.38 491891.14,113616.39 491909.51,113610.44 491931.02,113600.72 491962.08,113590.2 491999.03,113582.69 492022.71,113578.64 492029.25,113574.76 492040.06,113575.3 492046.02,113527.14 492197.95,113527.14 492197.96,113491.18 492311.8,113464.17 492404.69,113459.12 492420.02,113455.86 492432.9,113443.86 492471.37,113434.73 492499.88,113429.23 492517.24,113423.14 492537.6,113415.25 492559.51,113412.46 492570.35,113408.75 492582.87,113404.66 492597.52,113393.83 492633.05,113382.44 492670.21,113375.86 492691.95,113343.18 492793.04,113316.81 492882.14,113305.45 492916.22,114076.91 492911.33,114072.27 492379.42,114323.54 492376.13,114321.85 492171.23,114494.84 492171.18,114495.96 492039.39,114493.66 491885.09,114497.29 491885.07,114497.02 491872.75,114634.83 491872.22,114634.54 491845.34,114633.09 491841.74))
6|CALDIC NEDERLAND|MOEZELHAVENWEG 12|Westpoort|3|Gemeente|EMBALLAGE, art.2.1.f|Opslag verpakte gevaarlijke stoffen (Giftig en brandbaar)|QRA: 1-11-2011, versie 1.3|POLYGON ((116429.02 489846.02,116429.11 489868.55,116429.12 489869.98,116429.56 489913.43,116429.59 489919.13,116429.88 489926.04,116472.05 489925.48,116499.3 489925.3,116502.29 489924.99,116504.32 489924.99,116505.88 489924.9,116508.16 489925.01,116523.55 489925.07,116529.41 489924.99,116529.05 489845.12,116429.02 489846.02))
7|CHEMTURA|ANKERWEG 18|Westpoort|2|Provincie|BRZO, art.2.1.a|Opslag verpakte gevaarlijke stoffen|QRA volgens nieuwe rekenmethodiek opgesteld tbv veiligheidsrapportage.Nieuwe invloedsgebied is 925 m. Vergunning wordt nog aangepast|POLYGON ((117811.72 492322.33,117828.98 492319.37,117834.22 492318.04,117837.49 492316.72,117842 492313.52,117845.75 492308.89,117847.68 492305.21,117849.96 492294.5,117851.36 492286.25,117851.54 492279.58,117851.85 492274,117851.08 492268.24,117849.53 492263.43,117847.27 492258.98,117841.7 492250.39,117835.06 492240.74,117831.77 492235.89,117828.23 492229.92,117824.12 492226.94,117818.45 492219.07,117810.67 492208.21,117797.39 492190.55,117793.14 492184.26,117769.95 492152.98,117747.45 492122.13,117732.98 492103.99,117727.2 492096.84,117719.29 492088.11,117714.2 492083.01,117712.3 492082.28,117710.97 492080.91,117708.86 492079,117706.03 492077.37,117702.76 492076.36,117698.57 492075.94,117695.54 492076.01,117689.05 492077.25,117684.02 492078.42,117666.48 492081.88,117648.12 492085.55,117633.27 492088.28,117613.59 492091.92,117597.39 492094.88,117566.28 492101.45,117509.65 492114.07,117489.59 492118.42,117477.05 492121.63,117478.89 492131.43,117507.65 492275.46,117517.25 492322.96,117517.55 492325.89,117514.11 492330.06,117517.99 492350.12,117497.68 492354.55,117503.28 492380.73,117503.95 492384.38,117504.53 492387.79,117525.12 492382.56,117528.38 492381.56,117536.59 492380.51,117548.58 492378.13,117555.46 492376.99,117570.76 492374.34,117575.28 492373.86,117589.44 492371.74,117595.38 492371.49,117600.54 492368.94,117606.38 492367.82,117621.7 492364.29,117669.27 492353.53,117674.88 492352.65,117684.4 492350.27,117693.9 492348.18,117699.08 492346.94,117716.83 492343.01,117722.77 492341.83,117727.57 492341.15,117732.17 492339.98,117744.73 492336.47,117748.82 492335.95,117758.64 492334.65,117764.45 492333.27,117778.17 492329.25,117790.98 492326.8,117811.72 492322.33))
8|DIERGAARDE CHEMICAL STORAGE|LATEXWEG 10|Westpoort|1|Gemeente|EMBALLAGE, art.2.1.f|Opslag verpakte gevaarlijke stoffen|Geldende QRA : 26-1-2010|POLYGON ((112630.23 491913.23,112362.16 491828.18,112362.15 491828.24,112333.2 491921.26,112323.02 491953.96,112593.31 492036.63,112630.23 491913.23))
9|EUROTANK AMSTERDAM BV|VAN RIEBEECKHAVENWEG 9|Westpoort|3|Provincie|BRZO, art.2.1.a|OPSLAG olieproducten (brandbaar)|Totaal 1,3 miljoen brandbare olieproducten|MULTIPOLYGON (((118106.22 492109.85,118409.23 492191.75,118418.32 492187.81,118441.12 492241.44,118442.05 492243.13,118456.49 492240.18,118487.29 492235.15,118516.68 492229.63,118530.38 492227.49,118555.15 492223.5,118564.81 492221.28,118568.26 492221.41,118630.86 492210.23,118692.78 492199.15,118697.76 492198.76,118711.47 492195.98,118715.25 492195.66,118724.19 492194.38,118750.9 492188.93,118761.08 492187.33,118770.01 492184.94,118778.38 492183.45,118786.33 492180.81,118797.05 492179.33,118809.65 492174.68,118823.77 492170.59,118830.12 492169.24,118835.82 492166.29,118838.48 492163.3,118839.46 492159.62,118839.84 492153.76,118838.41 492148.41,118837.97 492148.09,118837.09 492145.49,118836.35 492142.04,118834.94 492138.82,118833.51 492137.58,118830.9 492134.92,118821.63 492138.86,118819.85 492139.09,118818.54 492139.26,118818.07 492139.32,118809.9 492141.68,118797.74 492143.46,118779.94 492097.9,118779.26 492097.56,118773.66 492099.71,118766.38 492081.37,118747.27 492033.83,118750.09 492032.44,118747.75 492026.29,118744.94 492027.11,118737.19 492008.8,118731.11 491991.43,118690.68 492008.11,118686.87 491998.44,118662.71 492009.52,118647.91 491974.03,118635.47 491979.86,118620.59 491947.66,118592.58 491874.05,118593.77 491872.27,118594.17 491870.53,118590.96 491843.33,118589.26 491843.39,118588.44 491829.19,118590.4 491800.76,118592.19 491800.93,118592.67 491795.95,118588.42 491795.55,118589.08 491776.52,118590.4 491776.84,118590.82 491779.09,118594.91 491778.32,118596.96 491767.11,118590.09 491768.27,118589.34 491764.44,118585.4 491760.17,118590.77 491744.83,118583.61 491744.87,118513.66 491718.52,118551.24 491637.54,118523.18 491623.78,118566.2 491530.46,118557.69 491526.3,118498.74 491447.48,118487.55 491432.53,118439.79 491368.67,118357.47 491429.73,118344.53 491437.01,118339.56 491441.89,118336.27 491442.99,118331.63 491445.79,118329.07 491449.08,118323.1 491454.57,118319.92 491456.03,118307.85 491464.33,118297.97 491471.89,118292.24 491476.89,118286.3 491481.31,118284.05 491484.7,118277 491493.33,118274.14 491499.62,118271.97 491508.12,118269.1 491518.19,118266.26 491527.26,118263.42 491543.05,118259.69 491552.91,118259.61 491557.2,118257.44 491567.67,118255.68 491571.65,118254.69 491575.95,118251.08 491589.85,118249.52 491594.76,118245.53 491609.21,118243.98 491613,118242.76 491614.53,118242.49 491614.87,118241.54 491616.06,118240.98 491619.14,118239.47 491629.76,118238.08 491635.77,118235.21 491645.32,118234.57 491650.47,118232.23 491655.91,118230.74 491660.03,118228.71 491667.85,118226.9 491674.68,118225.82 491677.47,118224.31 491684.25,118222.84 491687.86,118222.91 491691.02,118221.48 491697.52,118219.5 491706.58,118217.04 491711.99,118216.42 491714.88,118215.35 491721.39,118212.93 491728.81,118210.99 491737.02,118208.61 491744.22,118204.42 491755.81,118201.13 491768.62,118200.52 491771.43,118200.64 491774.35,118199.42 491777.16,118190.08 491811.61,118189 491815.92,118187.48 491815.5,118186.63 491818.96,118186.38 491826.53,118184.39 491831.33,118183.2 491835.58,118179.99 491849.61,118177.87 491857.33,118175.68 491863.03,118173.2 491873.63,118167.96 491892.02,118164.17 491905.71,118161.98 491912.41,118157.71 491918.75,118154.2 491932.41,118152.1 491940.1,118146.86 491958.88,118143.63 491967.64,118141.71 491971.11,118140.89 491973.25,118137.86 491989.09,118129.78 492014.44,118126.72 492029.92,118124.96 492035.03,118121.49 492048.4,118112.69 492078.02,118111.12 492087.06,118111.73 492088.77,118106.22 492109.85)),((117107.01 491732.34,117107.82 491736.88,117110.75 491747.52,117113.45 491753.35,117119.45 491750.58,117133.39 491769.83,117141.04 491763.91,117189.99 491726.1,117199.83 491693.56,117200.61 491690.98,117278.76 491633.17,117282.6 491638.23,117302 491623.89,117310.39 491617.88,117261.75 491552.99,117260.72 491550.93,117260.92 491548.52,117265.51 491544.71,117272.54 491539.64,117314.73 491507.73,117323.58 491500.5,117325.01 491499.77,117328.68 491497.92,117332.05 491494.8,117335.87 491492.18,117338.84 491490.76,117364.36 491471.09,117390.91 491450.7,117405.72 491439.8,117418.31 491430.94,117427.97 491422.81,117438.09 491415.49,117442.7 491414.31,117445.54 491416.04,117445.89 491416.25,117459.55 491434.84,117495.4 491483.62,117505.42 491497.33,117520.28 491516.81,117528.83 491528.93,117537.81 491541.22,117545.04 491549.62,117569.41 491582.43,117576.79 491593.43,117594.88 491616.68,117599.65 491624.93,117604.83 491635.55,117609.48 491641.48,117609.55 491644.16,117614.27 491649.85,117618.33 491655.55,117621.6 491656.51,117635.93 491672.97,117656.02 491698.52,117673.48 491720.72,117688.12 491741.55,117689.97 491744.08,117699.63 491757.31,117705.06 491764.53,117741.93 491813.71,117819.05 491917.32,117824.38 491924.48,117850 491959.54,117888.65 492010.74,117906.14 492034.24,117906.82 492034.73,117909.65 492036.79,117913 492037.16,117916.01 492036.27,117916.24 492036.2,117918.08 492034.89,117920.4 492031.72,117922.24 492027.81,117923.54 492023.05,117945.5 491945.92,117952.77 491917.78,117986.26 491797.61,118000.33 491751.77,118002.01 491746.22,118002.22 491743.27,118002.07 491739.77,117999.96 491734.15,117998.1 491730.13,117967.86 491690.32,117946.97 491661.11,117942.27 491656.53,117933.82 491645.19,117929.22 491639.37,117923.83 491632.34,117918.57 491626.2,117913.81 491619.94,117910.7 491614.68,117908.73 491609.81,117888.48 491624.96,117771.52 491467.36,117746.13 491432.94,117741.4 491434.84,117722.92 491402.71,117716.47 491393.38,117712.49 491388.48,117690.33 491360.79,117682.77 491355.35,117676.03 491350.5,117666.46 491345.26,117658.47 491341.47,117637.63 491335.39,117631.16 491334.39,117624.83 491334.31,117620 491334.64,117612.4 491337.68,117610.27 491339.21,117544.58 491387.48,117532.1 491396.65,117529.97 491397.38,117527.72 491398.16,117523.64 491399.56,117517.83 491400.49,117509.47 491400.54,117500.21 491398.73,117442.42 491398.05,117439.59 491400.18,117248.56 491541.74,117185.66 491585.09,117160.06 491602.44,117159.92 491604.66,117137.86 491621.09,117126.9 491635.36,117120.68 491645.35,117113.71 491659.98,117108.3 491676.08,117106.18 491687.99,117105.03 491699.82,117104.81 491711.91,117105.63 491724.69,117107.01 491732.34)),((117207.73 491871.13,117254.86 491914.35,117262.13 491921.02,117240.67 491932.22,117240.19 491932.46,117284.35 491992.25,117304.89 492074.42,117305.12 492075.35,117305.3 492076.07,117314.3 492074.7,117320.83 492073.11,117325.11 492073.43,117378.16 492061.39,117382.05 492061.33,117444.79 492047.38,117591.86 492015.13,117592.71 492014.66,117592.4 492012.11,117593.32 492011.05,117593.45 492010.9,117594.26 492009.11,117594.79 492006.12,117594.8 492005.1,117594.26 492002.45,117591.92 491999.16,117591.55 491998.03,117588.83 491995.69,117587.14 491993.29,117579.7 491983.86,117577.51 491979.61,117553.83 491946.96,117543 491932.59,117538.37 491927.34,117533.45 491919.93,117529.52 491914.5,117523.62 491906.35,117518.79 491899.45,117511 491888.77,117507.39 491884.26,117502.01 491877.85,117498.36 491874.21,117489.88 491862.08,117481.52 491850.52,117471.62 491836.14,117463.64 491826.15,117457.54 491816.56,117449 491806.1,117445.4 491800.05,117432.61 491783.05,117417.89 491763.63,117411.42 491754.5,117396.99 491735.02,117387.92 491722.64,117384.89 491718.85,117382.47 491714.93,117381 491714.11,117377.02 491716.22,117194.03 491852.34,117207.73 491871.13)))
10|HANDELSVEEM|SARDINIEWEG 7|Westpoort|1|Gemeente|AMMONIAK, art.2.1.g+>1000 liter zeer toxische stof in een insluitsysteem (Artikel 1d,e)|Opslag gevaarlijke stoffen tbv verder transport en AMMONIAK KOELINSTALLATIE||MULTIPOLYGON (((116367.93 490641.62,116355.87 490641.66,116356.07 490517.41,116185.84 490518.66,116185.52 490475.91,116007.74 490477.15,116007.94 490512.14,116008.47 490604.39,115907.73 490605.16,115820.96 490605.83,115821.14 490647.81,115821.43 490716.12,115895.15 490716.47,115897.62 490716.48,115894.15 490727.2,115891.92 490734.09,115888.57 490739.36,115886.65 490742.38,115882.66 490747.73,115878.04 490752.69,115873.5 490757.55,115869.74 490761.22,115863.38 490765.12,115863.38 490765.12,115863.38 490765.12,115928.32 490785.04,115960.45 490794.89,115955.23 490811.92,115951.61 490823.73,116237.94 490912.46,116291.31 490929,116380.52 490642.27,116380.18 490641.87,116379.94 490641.59,116367.93 490641.62)),((115894.13 490983.59,115914.58 490917.34,115915.38 490918.49,115940.25 490837.61,115915.13 490829.89,115896.03 490824.03,115892.74 490825.1,115886.37 490827.75,115881.05 490830.37,115873.43 490834.72,115840.45 490855.44,115832.78 490860.31,115825.64 490865.79,115818.97 490871.72,115810.74 490880.44,115807.06 490885.03,115801.2 490893.22,115797.05 490899.69,115792.51 490907.83,115788.77 490915.83,115785.39 490924.1,115778.03 490947.74,115894.13 490983.59)))
